starting worker pid=4448 on localhost:11177 at 04:12:45.248
starting worker pid=5624 on localhost:11177 at 04:12:45.708
starting worker pid=3656 on localhost:11177 at 04:12:45.984
starting worker pid=6188 on localhost:11177 at 04:12:46.270

011-E164-033WL Progress 0 % 
  localhost:11177  3656 : Re 1000 AoA  5 5:57:53 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 1000 AoA 10 5:57:54 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 1000 AoA-40 5:57:55 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  5624 : Re 1000 AoA  0 5:57:56 AM | Aerofoil Surface Values Plotted 
  localhost:11177  4448 : Re 1000 AoA-40 5:57:56 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 1000 AoA  0 5:57:57 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 1000 AoA-40 5:58:00 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 1000 AoA  0 5:58:00 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 1000 AoA  5 5:58:00 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  6188 : Re 1000 AoA 10 5:58:02 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 1000 AoA  0 5:58:03 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 1000 AoA-40 5:58:08 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 1000 AoA  0 5:58:11 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  3656 : Re 1000 AoA  5 5:59:19 AM | Boundary Layers Calculated 
